Date,hour,screening_hall,screening_mode,free,sold
05.05.2019, 16:00 ,Αίθουσα 3,2d,242,41
05.05.2019, 17:00 ,Αίθουσα 7,2d,192,49
05.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,183,126
05.05.2019, 19:00 ,Αίθουσα 2,2d,223,59
05.05.2019, 20:00 ,Αίθουσα 3,2d,272,11
05.05.2019, 20:45 ,Αίθουσα 7,2d,230,11
05.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,214,95
05.05.2019, 22:00 ,Αίθουσα 6,2d,192,6
05.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
05.05.2019, 23:00 ,Αίθουσα 4,2d,184,1
06.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
06.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,303,6
06.05.2019, 19:00 ,Αίθουσα 2,2d,280,2
06.05.2019, 20:00 ,Αίθουσα 3,2d,277,6
06.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
06.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,284,25
06.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
06.05.2019, 22:30 ,Αίθουσα 2,2d,280,2
06.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
07.05.2019, 17:00 ,Αίθουσα 7,2d,232,9
07.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,284,25
07.05.2019, 19:00 ,Αίθουσα 2,2d,225,57
07.05.2019, 20:00 ,Αίθουσα 3,2d,215,68
07.05.2019, 20:45 ,Αίθουσα 7,2d,209,32
07.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,223,86
07.05.2019, 22:00 ,Αίθουσα 6,2d,185,13
07.05.2019, 22:30 ,Αίθουσα 2,2d,275,7
07.05.2019, 23:00 ,Αίθουσα 4,2d,179,6
07.05.2019, 23:30 ,Αίθουσα 3,2d,281,2
08.05.2019, 17:00 ,Αίθουσα 7,2d,241,0
08.05.2019, 18:00 ,Αίθουσα 1,IMAX 3D,309,0
08.05.2019, 19:00 ,Αίθουσα 2,2d,282,0
08.05.2019, 20:00 ,Αίθουσα 3,2d,281,2
08.05.2019, 20:45 ,Αίθουσα 7,2d,241,0
08.05.2019, 21:35 ,Αίθουσα 1,IMAX 3D,302,7
08.05.2019, 22:00 ,Αίθουσα 6,2d,198,0
08.05.2019, 22:30 ,Αίθουσα 2,2d,282,0
08.05.2019, 23:00 ,Αίθουσα 4,2d,185,0
